[00:08] A:  Lorsque les enfants seront en vacances à compter de vendredi soir,
[03:46] B:  et avec le week-end de Pâques qui viendra qui viendra au milieu de cette de ces deux semaines. Pour les les semaines qui viennent, on va prolonger les mesures qui avaient été prises notamment les mesures de couvre-feu de 22 heures à 5 heures, elles vont être prolongées jusqu'au 8 avril, en espérant que dès la semaine prochaine nous verrons un nous verrons un effet positif dessus, évidemment on mettra en place des contrôles comme c'est fait jusqu'à présent, de manière à vérifier que tous les gens respectent leur toutes toutes ces différentes mesures, dont celle du couvre-feu, mais aussi
[04:10] B:  aussi, l'accès aux plages et aux plans d'eau. Pour le week-end de Pâques, pardon puisque vous m'aviez posé la question,
[04:14] B:  pour le week-end de Pâques, c'est un week-end qui est très spécial,
[04:16] B:  c'est quatre jours pendant lesquels je sais qu'ici on a l'habitude de se retrouver entre amis et en famille dans des lieux ouverts au public,
[04:24] B:  les plages, les bords d'eau et les bords de rivière et les bords de plans d'eau.
[04:29] B:  Voilà,
[04:29] B:  il est extrêmement important que de ne pas reproduire ces regroupements et ces rassemblements pour ce week-end de Pâques.
[04:36] B:  Célébrons Pâques comme il se doit,
[04:38] B:  pendant la journée mais pas pendant la soirée. Donc on mettra en place des mesures de contrôle très stricts pour vérifier que les accès au plan d'eau et aux plages sont limités à ceux auxquels on est autorisé, c'est-à-dire pendant la journée,
[04:48] B:  pas pour y pique-niquer, et interdit le soir et interdit d'y camper bien évidemment. C'est déjà en vigueur depuis presque six mois aujourd'hui.
[04:55] B:  Et puis on est en train de réfléchir à des mesures de restriction peut-être du couvre-feu.
[04:59] B:  Voilà, le travail est encore en cours.
[05:01] B:  Je dois consulter les élus, consulter le travail.
[05:04] B:  le travail avec les forces de l'ordre, faire un travail aussi avec les responsables de culte, parce qu'il y a un certain nombre de cultes qui se passent pendant cette période,
[05:11] B:  et avec les sociaux professionnels, de manière à caler les mesures,
[05:15] B:  elles seront annoncées avant la fin de cette semaine,
[05:17] B:  de manière à ce que tout le monde puisse se préparer pour le week-end qui suivra. Dans les lieux de culte, c'est de la responsabilité des célébrants et des gens qui organisent les cultes. On a travaillé avec eux lundi, j'ai fait une réunion très importante et très intéressante avec eux,
[05:28] B:  sur lequel on a bien convenu de la...
[05:31] B:  le caractère très responsable de leur attitude et de ce qu'ils allaient organiser pendant les festivités de Pâques. Donc c'est important de le respecter bien évidemment. Ils vont adapter les horaires des offices, ils vont travailler sur l'essence de circulation,
[05:44] B:  vérifier que les gestes barrières,
[05:45] B:  l'application de gel hydroalcoolique est bien fait au début de chaque célébration. C'est important, rappelez-vous l'an dernier on n'avait pas pu célébrer les fêtes de Pâques comme ils convenaient puisque c'était le confinement.
[05:56] B:  Cette année nous ne sommes pas en confinement,
[05:58] B:  dans un configuration différente.
[05:59] B:  Mais il ne faudrait pas que cette configuration nous nous amène vers des chiffres négatifs, bien évidemment.
